ARB0099	Basic Arabic	25-11-2023 , Sat	08:30-10:30	H201+H202+H203+H204
MATH203	Applied Mathematics For Engineers	25-11-2023 , Sat	08:30-10:30	H101+H102+H103+H104+H105+H106
CS263	Database Management Systems	25-11-2023 , Sat	08:30-10:30	H301+H302+H303
ECE321	Communication System I	25-11-2023 , Sat	08:30-10:30	H304+H305+H306
LOGS213	Operations Management	25-11-2023 , Sat	08:30-10:30	H205+H206
LOGS315	Inventory Management	25-11-2023 , Sat	08:30-10:30	H402+H403+404
IE0281	Technical Writing and Engineering Ethics	25-11-2023 , Sat	08:30-10:30	H503+H504+H505
BM211	Anatomy and Physiology	25-11-2023 , Sat	10:30-12:30	H402+H403
PCE211	Introduction to Pharmaceutical and Chemical Engineering	25-11-2023 , Sat	10:30-12:30	H304+H305+H306
SFTS101	Soft Skills	25-11-2023 , Sat	10:30-12:30	H101+H102+H103+H104+H105
MGT211	Organizational Behavior	25-11-2023 , Sat	10:30-12:30	H301+H302+H303
BIDA111	Fundamentals of Business Intelligence(BI)	25-11-2023 , Sat	10:30-12:30	H201+H202+203+H204
MECH0215	Dynamics	25-11-2023 , Sat	10:30-12:30	H205+H206
IE0251	Work Measurement and Standards	25-11-2023 , Sat	12:30-14:30	H101+H102
CS116	Computing Fundamentals	26-11-2023 , Sun	08:30-10:30	H101+H102+H103+H104+H105+H106+H201+H202+H203+H204+H205+H206+H301+H302+ H303+H304+H305+H306
CS223	Data Structures	26-11-2023 , Sun	08:30-10:30	H402+H403+H404
CS416	Systems Programming	26-11-2023 , Sun	08:30-10:30	C104+C107+C108
PCE221	Thermodynamics for Pharmaceutical and Chemical Engineering	26-11-2023 , Sun	08:30-10:30	C206+C207+C208
NUR1302	Human Anatomy	26-11-2023 , Sun	08:30-10:30	H503+H504+H505
ME111|ME0111	Computer Aided Engineering Drawing	26-11-2023 , Sun	08:30-10:30	Computer labs
BM5822	Medical Ethics & Regulatory Affairs	26-11-2023 , Sun	08:30-10:30	C231+C232+C127+C129
ACC251	Fundamentals of Finance	26-11-2023 , Sun	08:30-10:30	C302+C305+C306+C307+C309
ENE312	Power Electronics	26-11-2023 , Sun	10:30-12:30	C104+C107+C108+C127
LOGS417	Retail Logistics	26-11-2023 , Sun	10:30-12:30	H404+H405
IE0562	Industrial Cost analysis	26-11-2023 , Sun	10:30-12:30	C206+C207+C208+C210
NE101	National Education	26-11-2023 , Sun	10:30-12:30	H101+H102+H103+H104+H105+H106+H201+H202+H203+H204+H205+H206+H301+H302
BM341	Biomechanics and Rehabilitation I	26-11-2023 , Sun	10:30-12:30	H402+H403
LOGS324	Logistics Network Design	26-11-2023 , Sun	10:30-12:30	H305+H306
ECE317	Linear Algebra	26-11-2023 , Sun	10:30-12:30	H303+H304
MGT328	Project Management and Planning	27-11-2023 , Mon	08:30-10:30	H301+H302
IE0516	Facility and Asset Management	27-11-2023 , Mon	08:30-10:30	H503+H504
